recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	1.0
ramen	7.270092635238739	0.0
quesadillas	7.235617062396761	0.0
ma-la-chicken	7.095599190155725	0.0
pain-au-chocolat	6.936422371120143	0.75
chocolate-babka	6.956081968821101	1.0
spamburger	6.9135011045410115	0.25
bacon-fried-rice	6.870465492838655	0.25
cranberry-sauce	6.678333239998815	0.75
nacho-fries	6.603422473966964	0.0
strawberry-rhubarb-crisp	6.559109410332738	1.0
asparagus-burger	6.5505798080572415	0.25
apple-pie	6.447859055987658	1.0
mushroom-quiche	6.374188559612841	0.0
brioche-bread	6.271446481871832	0.5
bacon-wrapped-asparagus	6.267820306855639	0.25
guacamole	6.108206746274681	0.0
bacon-wrapped-chicken	6.083331780912465	0.25
cranberry-apple-crisp	6.081911803153221	1.0
cold-noodles-with-tomatoes	6.0724109246801286	0.25
tamales	5.904952390279256	0.25
dan-dan-noodles	5.861173067379858	0.0
taco-salad	5.707315903369447	0.25
croissants	5.706795878192054	0.25
apple-crisp	5.671857604721227	1.0
chicken-nuggets	5.625586937565765	0.5
chocolate-peanut-butter-cake	5.6173145611613835	1.0
spam-musubi	5.609829812222625	0.5
bacon-mac-and-cheese	5.542014204344456	0.25
asparagus-quiche	5.522735937279648	0.25
croissant-aux-amandes	5.405099288178846	0.5
bacon-wrapped-shrimp-skewers	5.379694298715029	0.25
danishes	5.375165600806106	0.75
fajitas	5.34281560966572	0.25
tacos	5.312058435006134	0.25
souffle	5.3068866991223835	0.5
sujebi	5.28179560396314	0.5
cherry-pie	5.281862046030667	1.0
vanilla-souffle	5.238351685697623	1.0
brownies	5.223957083047405	1.0
brioche-bread-with-chocolate	5.152991817445822	1.0
breakfast-burritos	5.113783109665684	0.25
spinach-and-ricotta-lasagna	5.075471436582202	0.25
enchiladas	5.022406926279568	0.0
peach-crisp	5.004700405411113	1.0
peanut-butter-cupcakes	4.9999085956090275	1.0
nacho-salad	4.984311787600993	0.25
quiche-lorraine	4.975560569732191	0.25
soba-noodle-salad-with-peanut-dressing	4.950015425930734	0.25
nachos	4.915677617389201	0.25
loaded-nachos	4.825747046048345	0.0
maple-bacon-donuts	4.694400831640068	0.75
cranberry-relish	4.692620979466724	0.5
spinach-quiche	4.636344901284704	0.25
berry-crisp	4.599985857833061	1.0
almond-chip-cookies	4.591994889814864	1.0
bacon-wrapped-scallops	4.577643989844845	0.5
pickled-green-beans	4.570461717647066	0.25
ma-la-beef	4.566376280847679	0.0
bolognese-sauce	4.537323120266495	0.25
falafel	4.527153015564927	0.25
bacon-egg-muffins	4.522169529202025	0.5
cold-sesame-noodles	4.478607178408308	0.0
tempura-udon	4.462343519596613	0.5
chicken-fingers	4.451057349747501	0.5
peach-cobbler	4.4469808315385615	1.0
chiles-rellenos	4.436728907710613	0.0
almond-croissants	4.401829289831958	0.5
burritos	4.395792104642984	0.25
chicken-alfredo-lasagna	4.390838296116016	0.25
bacon-and-egg-breakfast-sandwich	4.254835096249593	0.25
cold-soba-noodles-with-tomato-and-cucumber	4.239824483972391	0.5
bacon-chocolate-chip-cookies	4.2316643513941745	1.0
fried-oysters	4.193549487934273	0.25
blueberry-crumble	4.1386062942268165	1.0
spinach-and-feta-quiche	4.1387319890256755	0.5
pico-de-gallo	4.1309345881014785	0.0
chocolate-cake	4.108977330917696	1.0
chocolate-croissants	4.068348204902652	0.75
maple-bacon-pancakes	4.028137968542504	1.0
french-toast	4.0189369423580725	0.75
cherry-cobbler	4.005206363290607	1.0
pickled-asparagus	3.9876129531378544	0.5
bacon-wrapped-dates	3.922970864885781	0.75
udon	3.905739185594326	0.25
peanut-butter-brownies	3.879296398363578	1.0
classic-beef-lasagna	3.868291730166439	0.25
nacho-casserole	3.848942950081747	0.25
blueberry-crisp	3.727460398434632	1.0
pasta-primavera	3.716482978426389	0.25
nacho-dip	3.6756992179429497	0.0
cinnamon-babka	3.610617669795973	1.0
chocolate-souffle	3.4398855757754543	1.0
lasagna	3.4159104465393595	0.25
berry-crumble	3.264738678730472	1.0
vegetarian-mushroom-lasagna	3.009175654095334	0.0
bacon-souffle	2.906982296299139	0.25
apple-crumble	2.871723925425962	1.0
butter-croissants	2.858916108099437	0.25
strawberry-rhubarb-crisp	2.8592718001311868	1.0
